Win/Loss (Fighter1),Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Win,Alex Pereira,Jamahal Hill,Light Heavyweight,KO/TKO Punch,1,am,0.83,12,10,2,0,5.1,0.62,3.65,0.5,0.18,1,0.7,0.4,0.86,14,12,2,0,7.18,0.54,3.51,0.46,0,0,0.73,0
Win,Zhang Weili,Yan Xiaonan,Women's Strawweight,U-DEC,5,am,0.89,28,25,3,0,5.66,0.53,3.15,0.53,2.51,0.46,0.5,0.5,0.82,22,18,4,0,4.97,0.44,3.66,0.58,1,0.73,0.62,0
Win,Max Holloway,Justin Gaethje,Lightweight,KO/TKO Punch,5,am,0.79,33,26,7,0,7.17,0.48,4.72,0.59,0.25,0.53,0.84,0.3,0.83,30,25,5,0,6.78,0.59,7.46,0.52,0.11,0.25,0.75,0
Win,Arman Tsarukyan,Charles Oliveira,Lightweight,S-DEC,3,am,0.88,25,22,3,0,3.79,0.48,1.84,0.53,3.25,0.37,0.75,0,0.77,44,34,10,0,3.39,0.53,3.2,0.51,2.17,0.4,0.55,2.8
Win,Bo Nickal,Cody Brundage,Middleweight,SUB Rear Naked Choke,2,am,1,6,6,0,0,1.64,0.62,0.5,0.7,7.46,0.5,0,7.5,0.63,16,10,6,0,1.62,0.54,2.3,0.43,2.33,0.52,0.68,0.9
Win,Jiri Prochazka,Aleksandar Rakic,Light Heavyweight,KO/TKO Punches,2,am,0.86,35,30,4,1,5.75,0.56,5.43,0.41,0.79,0.6,0.68,0.3,0.78,18,14,4,0,4.26,0.5,2.8,0.5,0.76,0.25,0.85,0.1
Win,Aljamain Sterling,Calvin Kattar,Featherweight,U-DEC,3,am,0.86,28,24,4,0,4.61,0.52,2.3,0.58,2.31,0.27,0.45,0.7,0.74,31,23,8,0,4.76,0.39,6.75,0.54,0.39,0.29,0.72,0.1
Win,Kayla Harrison,Holly Holm,Women's Bantamweight,SUB Rear Naked Choke,2,am,0.94,18,17,1,0,7.52,0.71,0.29,0.83,4.42,0.4,1,2.2,0.68,22,15,7,0,3.13,0.4,2.92,0.55,0.87,0.3,0.76,0.1
Win,Diego Lopes,Sodiq Yusuff,Featherweight,KO/TKO Punches,1,am,0.8,30,24,6,0,3.22,0.58,4.73,0.37,0,0,0.42,5,0.76,17,13,4,0,5.66,0.49,4.51,0.53,0.28,0.2,0.62,0.4
Win,Renato Moicano,Jalin Turner,Lightweight,KO/TKO Punches,2,am,0.76,25,19,5,1,4.38,0.48,3.68,0.6,1.89,0.45,0.72,0.6,0.64,22,14,8,0,5.6,0.48,4.57,0.41,0.79,0.55,0.74,1.1
Win,Jessica Andrade,Marina Rodriguez,Women's Strawweight,S-DEC,3,am,0.68,38,26,12,0,6.62,0.5,5.37,0.55,2.37,0.55,0.72,0.3,0.74,23,17,4,2,4.82,0.47,3.12,0.55,0.23,0.42,0.65,0.2
Win,Bobby Green,Jim Miller,Lightweight,U-DEC,3,am,0.68,47,32,15,0,6.45,0.52,3.75,0.62,1.19,0.38,0.74,0.3,0.67,55,37,18,0,2.99,0.42,3.5,0.56,1.53,0.44,0.47,1.7
Win,Deiveson Figueiredo,Cody Garbrandt,Bantamweight,SUB Rear Naked Choke,2,am,0.85,27,23,3,1,3.01,0.55,3.38,0.5,1.65,0.42,0.58,1.7,0.7,20,14,6,0,2.98,0.4,3.76,0.6,1.03,0.34,0.8,0
Win,Brendan Allen,Chris Curtis,Middleweight,S-DEC,5,am,0.83,29,24,5,0,3.98,0.53,3.83,0.47,1.74,0.47,0.58,1.4,0.74,42,31,11,0,5.76,0.51,6.16,0.52,0,0,0.82,0
Win,Damon Jackson,Alexander Hernandez,Featherweight,S-DEC,3,am,0.79,29,23,6,0,3,0.41,3.29,0.51,2.51,0.35,0.4,1.4,0.64,22,14,8,0,4.33,0.41,4.66,0.55,1.06,0.31,0.59,0.1
Win,Chepe Mariscal,Morgan Charriere,Featherweight,S-DEC,3,am,0.7,23,16,6,1,4.7,0.52,3.68,0.52,2.35,0.28,0.66,0.4,0.63,30,19,10,1,3.98,0.49,4.24,0.55,1.59,0.4,0.87,0.8
Win,Ignacio Bahamondes,Christos Giagos,Lightweight,KO/TKO Kick,1,am,0.75,20,15,5,0,7.15,0.46,4.38,0.57,0,0,0.85,0.4,0.63,32,20,12,0,3.03,0.41,3.21,0.5,2.84,0.36,0.52,0.4
Win,Charlie Campbell,Trevor Peek,Lightweight,U-DEC,3,am,0.82,11,9,2,0,5.55,0.54,3.73,0.55,2.95,0.4,0.71,0,0.82,11,9,2,0,4.58,0.54,4.17,0.44,1.82,0.53,0.54,0
Win,Alex Morono,Court McGee,Welterweight,U-DEC,3,am,0.73,33,24,9,0,4.87,0.4,4.16,0.58,0.32,0.22,0.55,0.4,0.63,35,22,13,0,4.6,0.37,3.62,0.61,1.84,0.25,0.69,0.4
Win,Lukasz Brzeski,Valter Walker,Heavyweight,U-DEC,3,am,0.69,13,9,4,0,4.78,0.49,3.15,0.56,0.48,0.5,0.36,0.5,0.92,12,11,1,0,2.2,0.49,3.87,0.43,4,0.8,0,0
Win,Norma Dumont,Germaine de Randamie,Women's Bantamweight,U-DEC,3,am,0.85,13,11,2,0,3.11,0.49,1.89,0.66,1.91,0.68,0.72,0,0.67,15,10,5,0,2.57,0.46,2,0.65,0,0,0.65,0.4
Win,Victor Hugo,Pedro Falcao,Bantamweight,U-DEC,3,am,0.86,29,25,4,0,3.46,0.51,2.25,0.61,0.67,0.5,0.87,1.4,0.8,20,16,4,0,2.9,0.48,2.63,0.48,2.07,0.22,0.83,0
Win,Jean Matsumoto,Dan Argueta,Bantamweight,SUB Guillotine Choke,2,am,1,15,15,0,0,4.76,0.38,4.52,0.51,1.2,0.5,0.56,0.6,0.82,11,9,2,0,2.18,0.45,1.9,0.51,4.45,0.48,0.57,1.6
Win,Cesar Almeida,Dylan Budka,Middleweight,KO/TKO Elbows,2,am,1,5,5,0,0,4.5,0.64,1.31,0.5,0,0,0.62,0,0.7,10,7,3,0,1.04,0.6,1.8,0.34,3.38,0.38,1,0.7
Win,Nora Cornolle,Melissa Mullins,Women's Bantamweight,KO/TKO Knee,2,am,0.89,9,8,1,0,3.29,0.59,1.26,0.56,0,0,0.5,0,0.86,7,6,1,0,2.73,0.52,3.64,0.47,0.65,0.2,0.75,0
Win,Manon Fiorot,Erin Blanchfield,Women's Flyweight,U-DEC,5,am,0.92,13,12,1,0,6.26,0.41,3.77,0.68,1.17,0.42,0.93,0,0.86,14,12,2,0,5.47,0.45,4.34,0.58,2.05,0.33,0.81,1
Win,Joaquin Buckley,Vicente Luque,Welterweight,KO/TKO Punches,2,am,0.75,24,18,6,0,4.06,0.34,3.26,0.58,1.4,0.36,0.69,0,0.67,33,22,10,1,5.07,0.52,5.21,0.52,1,0.53,0.62,0.6
Win,Chris Weidman,Bruno Silva,Middleweight,U-DEC,3,am,0.7,23,16,7,0,3.18,0.45,3.22,0.51,3.44,0.42,0.65,0.8,0.68,34,23,11,0,4.12,0.49,5.45,0.41,0.93,0.27,0.73,0
Win,Nursulton Ruziboev,Sedriques Dumas,Middleweight,KO/TKO Punch,1,am,0.81,42,34,8,0,3.93,0.43,0.87,0.8,3.27,1,0,0,0.82,11,9,2,0,1.76,0.45,2.14,0.57,0.71,0.5,0.4,0.4
Win,Kyle Nelson,Bill Algeo,Featherweight,KO/TKO Punches,1,am,0.73,22,16,5,1,3.65,0.45,4.69,0.52,1.1,0.2,0.73,0.6,0.69,26,18,8,0,6.16,0.52,4.52,0.47,0.86,0.46,0.56,0.1
Win,Chidi Njokuani,Rhys McKee,Welterweight,S-DEC,3,am,0.7,33,23,10,0,4.09,0.61,2.94,0.55,0,0,0.74,0.2,0.65,20,13,6,1,4.8,0.45,7.85,0.42,0,0,0.41,0
Win,Nate Landwehr,Jamall Emmers,Featherweight,KO/TKO Punch,1,am,0.78,23,18,5,0,6.25,0.46,5.75,0.55,1,0.41,0.86,1,0.71,28,20,8,0,5.3,0.48,4.05,0.57,1.83,0.4,0.9,0.2
Win,Virna Jandiroba,Loopy Godinez,Women's Strawweight,U-DEC,3,am,0.87,23,20,3,0,2.3,0.38,2.96,0.57,2.36,0.36,0.73,1.2,0.75,16,12,4,0,4.13,0.48,3.58,0.63,3.04,0.46,0.84,1
Win,Julio Arce,Herbert Burns,Featherweight,KO/TKO Punch,2,am,0.76,25,19,6,0,4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3,0.69,16,11,5,0,1.73,0.4,4.6,0.41,3,0.42,0.66,2.5
Win,Dennis Buzukja,Connor Matthews,Featherweight,KO/TKO Punch,3,am,0.75,16,12,4,0,4.16,0.42,5.09,0.45,0.8,0.3,0.72,0.3,0.78,9,7,2,0,5.3,0.44,6.19,0.56,2.97,0.53,0.5,0.7
Win,Ibo Aslan,Anton Turkalj,Light Heavyweight,KO/TKO Punch,3,am,0.93,14,13,1,0,6.83,0.45,4.53,0.64,0,0,1,0,0.67,12,8,4,0,2.45,0.42,3.42,0.54,4.98,0.41,0.16,0
Win,Jacob Malkoun,Andre Petroski,Middleweight,KO/TKO Kick,2,am,0.73,11,8,3,0,3.86,0.56,2.48,0.52,6.62,0.42,0.2,0.4,0.71,14,10,4,0,3.5,0.49,3.08,0.51,4.32,0.54,0.8,2.3
Win,Caolan Loughran,Angel Pacheco,Bantamweight,U-DEC,3,am,0.9,10,9,1,0,6.27,0.47,5.73,0.56,2.5,0.33,0,0,0.7,10,7,3,0,9.5,0.39,11.47,0.41,0,0,0.28,0
Win,Rose Namajunas,Amanda Ribas,Women's Flyweight,U-DEC,5,am,0.68,19,13,6,0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5,0.71,17,12,5,0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
Win,Karl Williams,Justin Tafa,Heavyweight,U-DEC,3,am,0.91,11,10,1,0,2.87,0.52,1.7,0.6,4.75,0.5,1,0.2,0.64,11,7,4,0,4.09,0.54,5.02,0.47,0,0,0.5,0
Win,Edmen Shahbazyan,AJ Dobson,Middleweight,KO/TKO Punches,1,am,0.76,17,13,4,0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6,0.7,10,7,3,0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3
Win,Payton Talbott,Cameron Saaiman,Bantamweight,KO/TKO Punches,2,am,1,8,8,0,0,8.05,0.54,3.58,0.51,0,0,0.9,0.5,0.82,11,9,2,0,5.32,0.46,4.18,0.51,0.91,0.28,0.47,0.7
Win,Youssef Zalal,Billy Quarantillo,Featherweight,SUB Rear Naked Choke,2,am,0.7,20,14,5,1,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3,0.75,24,18,6,0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1
Win,Fernando Padilla,Luis Pajuelo,Featherweight,SUB D'Arce Choke,1,am,0.76,21,16,5,0,6.48,0.42,5.25,0.53,0,0,1,0.8,0.8,10,8,2,0,6.03,0.57,8.2,0.52,0,0,0.66,0
Win,Trey Ogden,Kurt Holobaugh,Lightweight,U-DEC,3,am,0.74,23,17,6,0,3.38,0.47,3.59,0.58,1.64,0.23,1,0.6,0.72,29,21,8,0,4.37,0.43,4.07,0.48,0.71,0.36,0.46,0.9
Win,Julian Erosa,Ricardo Ramos,Featherweight,SUB Guillotine Choke,1,am,0.71,41,29,12,0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8,0.73,22,16,6,0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7
Win,Miles Johns,Cody Gibson,Bantamweight,U-DEC,3,am,0.88,16,14,2,0,3.28,0.47,2.55,0.68,1.15,0.22,0.85,0,0.67,30,20,10,0,4,0.43,4.08,0.57,1.28,0.28,0.68,0.2
